year,strategy_name,year_start_equity,year_end_equity,year_return,trade_count,win_rate,max_drawdown,profit_factor
2020,strategy_a_ema21_pullback,100000.0,99872.15822176899,-0.0012784177823100817,18,0.1111111111111111,-0.009524757289633201,0.907088564435908
2021,strategy_a_ema21_pullback,99872.15822176899,99634.81635431355,-0.0023764567791597635,14,0.21428571428571427,-0.007434733485104594,0.8298722524498182
2022,strategy_a_ema21_pullback,99634.81635431355,101737.11225658083,0.021100012818724645,15,0.5333333333333333,-0.006669129626919679,2.505910130936958
2023,strategy_a_ema21_pullback,101737.11225658083,100283.62344002075,-0.014286711941404295,15,0.26666666666666666,-0.014524758244227498,0.18810221490676818
2024,strategy_a_ema21_pullback,100283.62344002075,99683.28113175216,-0.005986444123926682,12,0.3333333333333333,-0.0064982807025992795,0.36948131427328645
2025,strategy_a_ema21_pullback,99683.28113175216,100543.67367768919,0.008631262295628606,20,0.2,-0.008875756213082564,1.6415332463315577
2026,strategy_a_ema21_pullback,100543.67367768919,101999.55173168209,0.014480056285390841,5,0.4,-0.0033135124671174188,5.32239805047939
2020,strategy_b_ema55_pullback,100000.0,100381.41624658699,0.0038141624658698525,3,0.3333333333333333,-0.002802628407608143,2.3519526293309783
2021,strategy_b_ema55_pullback,100381.41624658699,99684.98034590599,-0.006937896741466609,3,0.0,-0.004995666840734825,0.0
2022,strategy_b_ema55_pullback,99684.98034590599,100405.79358962424,0.0072309112287229915,6,0.6666666666666666,-0.0011355919940670978,4.4701490550602365
2023,strategy_b_ema55_pullback,100405.79358962424,100336.50148568928,-0.0006901205742984029,6,0.3333333333333333,-0.0031018150361027397,0.7943755130358341
2024,strategy_b_ema55_pullback,100336.50148568928,99868.11113358734,-0.004668194975571693,5,0.2,-0.0033306970466236985,0.41030945891289
2025,strategy_b_ema55_pullback,99868.11113358734,101934.74419500443,0.020693623199228073,5,0.6,-0.0002903517997769889,43.027750802260265
2026,strategy_b_ema55_pullback,101934.74419500443,102597.67905216104,0.006503522056114486,3,1.0,0.0,999.0
2020,strategy_c_dual_bear_pullback,100000.0,99176.68107632843,-0.008233189236715677,6,0.0,-0.0061568961986718795,0.0
2021,strategy_c_dual_bear_pullback,99176.68107632843,98798.57470382251,-0.00381245236685146,5,0.2,-0.003631771686367413,0.013939821261574585
2022,strategy_c_dual_bear_pullback,98798.57470382251,100270.44584243797,0.014897696075351519,18,0.5,-0.008471485583096738,1.9746588982180546
2023,strategy_c_dual_bear_pullback,100270.44584243797,99994.38017489044,-0.002753210731518352,7,0.2857142857142857,-0.004593448900373387,0.5550921733096094
2024,strategy_c_dual_bear_pullback,99994.38017489044,99764.62679977596,-0.0022976628757800377,3,0.3333333333333333,-0.00326406589010908,0.41605132432300274
2025,strategy_c_dual_bear_pullback,99764.62679977596,101136.25187930463,0.013748611341788397,8,0.375,-0.0034424813530222753,3.168222416915562
2026,strategy_c_dual_bear_pullback,101136.25187930463,101971.44296560601,0.008258078293212678,6,0.5,-0.0031017281806052788,3.268087393713214
2020,strategy_d_first_pullback,100000.0,99866.52731502923,-0.0013347268497077014,1,0.0,0.0,0.0
2022,strategy_d_first_pullback,99866.52731502923,99872.7204236133,6.2013857401233e-05,1,1.0,0.0,999.0
2025,strategy_d_first_pullback,99872.7204236133,99640.39696484247,-0.002326195359307559,1,0.0,0.0,0.0
2022,strategy_e_second_pullback,100000.0,100423.28188182102,0.004232818818210138,1,1.0,0.0,999.0
2020,strategy_f_dual_bear_rsi,100000.0,99659.23340729784,-0.0034076659270215748,3,0.0,-0.0031063455161541853,0.0
2021,strategy_f_dual_bear_rsi,99659.23340729784,99470.75483351322,-0.0018912304193062779,2,0.0,-0.0016563845883602601,0.0
2022,strategy_f_dual_bear_rsi,99470.75483351322,99611.01634997712,0.001410077933948095,13,0.46153846153846156,-0.007112843358408005,1.1052902772438855
2023,strategy_f_dual_bear_rsi,99611.01634997712,99467.40275371929,-0.0014417441114469298,4,0.25,-0.0032844023542067946,0.5618430755887187
2024,strategy_f_dual_bear_rsi,99467.40275371929,99238.8601950618,-0.0022976628757800377,3,0.3333333333333333,-0.00326406589010908,0.4160513243230028
2025,strategy_f_dual_bear_rsi,99238.8601950618,101233.85667126028,0.020102976518242555,2,1.0,0.0,999.0
2026,strategy_f_dual_bear_rsi,101233.85667126028,102069.85378557541,0.008258078293212678,6,0.5,-0.003101728180605501,3.268087393713213
2020,strategy_g_dual_bear_volume,100000.0,99414.35929804402,-0.005856407019559806,4,0.0,-0.0044179756393812886,0.0
2021,strategy_g_dual_bear_volume,99414.35929804402,99396.33157136885,-0.0001813392632861177,2,0.5,0.0,0.22911599070832997
2022,strategy_g_dual_bear_volume,99396.33157136885,101255.66772386634,0.01870628546449371,8,0.75,-0.0013023071922628748,8.585275711182357
2023,strategy_g_dual_bear_volume,101255.66772386634,100816.6520192258,-0.0043357148741319795,6,0.16666666666666666,-0.006173032818467927,0.2989322711257509
2024,strategy_g_dual_bear_volume,100816.6520192258,100652.1915999515,-0.0016312822929582804,2,0.5,-0.003264065890108969,0.5010473241815121
2025,strategy_g_dual_bear_volume,100652.1915999515,102563.14104943236,0.01898567153983155,5,0.6,-0.0011188887475266363,17.812944001884
2026,strategy_g_dual_bear_volume,102563.14104943236,103494.30987638197,0.009078981176101175,4,0.5,-0.0022900742172983213,4.9198251148933005
