strategy_name,schedule_name,cost_scenario_name,period_freq,period_count,positive_periods,positive_period_rate,median_period_return,worst_period_return,worst_period_drawdown,median_profit_factor,average_trade_count
v8_c_strong_1_25_weak_0_5__v10_a_no_stop,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0004799537242767826,-0.007800843772214128,-0.007800843772214128,0.0,1.9259259259259258
v8_c_strong_1_25_weak_0_5__v10_b_stop_0_75pct,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0004799537242767826,-0.007800843772214128,-0.007800843772214128,0.0,1.9259259259259258
v8_c_strong_1_25_weak_0_5__v10_c_stop_1_00pct,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0004799537242767826,-0.007800843772214128,-0.007800843772214128,0.0,1.9259259259259258
v8_c_strong_1_25_weak_0_5__v10_d_stop_1_25pct,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0004799537242767826,-0.007800843772214128,-0.007800843772214128,0.0,1.9259259259259258
v8_c_strong_1_25_weak_0_5__v10_e_stop_1_50pct,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0004799537242767826,-0.007800843772214128,-0.007800843772214128,0.0,1.9259259259259258
v8_d_strong_1_5_weak_0_5__v10_a_no_stop,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0005175306899724008,-0.009356256729419199,-0.009356256729419199,0.0,1.9259259259259258
v8_d_strong_1_5_weak_0_5__v10_b_stop_0_75pct,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0005175306899724008,-0.009356256729419199,-0.009356256729419199,0.0,1.9259259259259258
v8_d_strong_1_5_weak_0_5__v10_c_stop_1_00pct,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0005175306899724008,-0.009356256729419199,-0.009356256729419199,0.0,1.9259259259259258
v8_d_strong_1_5_weak_0_5__v10_d_stop_1_25pct,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0005175306899724008,-0.009356256729419199,-0.009356256729419199,0.0,1.9259259259259258
v8_d_strong_1_5_weak_0_5__v10_e_stop_1_50pct,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,M,27,9,0.3333333333333333,-0.0005175306899724008,-0.009356256729419199,-0.009356256729419199,0.0,1.9259259259259258
v8_a_flat_1_0__v10_a_no_stop,v8_a_flat_1_0,stress_cost_2_0x,M,27,10,0.37037037037037035,-0.0008073631491476441,-0.0070480636014688125,-0.0070480636014688125,0.0,1.9259259259259258
v8_a_flat_1_0__v10_b_stop_0_75pct,v8_a_flat_1_0,stress_cost_2_0x,M,27,10,0.37037037037037035,-0.0008073631491476441,-0.0070480636014688125,-0.0070480636014688125,0.0,1.9259259259259258
v8_a_flat_1_0__v10_c_stop_1_00pct,v8_a_flat_1_0,stress_cost_2_0x,M,27,10,0.37037037037037035,-0.0008073631491476441,-0.0070480636014688125,-0.0070480636014688125,0.0,1.9259259259259258
v8_a_flat_1_0__v10_d_stop_1_25pct,v8_a_flat_1_0,stress_cost_2_0x,M,27,10,0.37037037037037035,-0.0008073631491476441,-0.0070480636014688125,-0.0070480636014688125,0.0,1.9259259259259258
v8_a_flat_1_0__v10_e_stop_1_50pct,v8_a_flat_1_0,stress_cost_2_0x,M,27,10,0.37037037037037035,-0.0008073631491476441,-0.0070480636014688125,-0.0070480636014688125,0.0,1.9259259259259258
