strategy_name,schedule_name,loss_throttle_rule_name,activation_count,reduced_risk_trade_count,reduced_risk_win_rate,average_effective_risk_multiplier
v8_a_flat_1_0__v11_a_no_throttle,v8_a_flat_1_0,v11_a_no_throttle,0,0,0.0,1.0
v8_a_flat_1_0__v11_b_after_3_losses_half,v8_a_flat_1_0,v11_b_after_3_losses_half,6,19,0.2631578947368421,0.8173076923076923
v8_a_flat_1_0__v11_c_after_4_losses_half,v8_a_flat_1_0,v11_c_after_4_losses_half,4,13,0.23076923076923078,0.875
v8_a_flat_1_0__v11_d_after_3_losses_quarter,v8_a_flat_1_0,v11_d_after_3_losses_quarter,6,19,0.2631578947368421,0.7259615384615384
v8_c_strong_1_25_weak_0_5__v11_a_no_throttle,v8_c_strong_1_25_weak_0_5,v11_a_no_throttle,0,0,0.0,0.9326923076923077
v8_c_strong_1_25_weak_0_5__v11_b_after_3_losses_half,v8_c_strong_1_25_weak_0_5,v11_b_after_3_losses_half,6,19,0.2631578947368421,0.7620192307692307
v8_c_strong_1_25_weak_0_5__v11_c_after_4_losses_half,v8_c_strong_1_25_weak_0_5,v11_c_after_4_losses_half,4,13,0.23076923076923078,0.8269230769230769
v8_c_strong_1_25_weak_0_5__v11_d_after_3_losses_quarter,v8_c_strong_1_25_weak_0_5,v11_d_after_3_losses_quarter,6,19,0.2631578947368421,0.6766826923076923
v8_d_strong_1_5_weak_0_5__v11_a_no_throttle,v8_d_strong_1_5_weak_0_5,v11_a_no_throttle,0,0,0.0,1.0769230769230769
v8_d_strong_1_5_weak_0_5__v11_b_after_3_losses_half,v8_d_strong_1_5_weak_0_5,v11_b_after_3_losses_half,6,19,0.2631578947368421,0.8798076923076923
v8_d_strong_1_5_weak_0_5__v11_c_after_4_losses_half,v8_d_strong_1_5_weak_0_5,v11_c_after_4_losses_half,4,13,0.23076923076923078,0.9567307692307693
v8_d_strong_1_5_weak_0_5__v11_d_after_3_losses_quarter,v8_d_strong_1_5_weak_0_5,v11_d_after_3_losses_quarter,6,19,0.2631578947368421,0.78125
